<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20160115,100000,92.4300000,92.8700000,91.7000000,92.7000000,12035440
SBER,60,20160115,110000,92.7000000,92.9500000,91.2100000,91.3700000,16331740
SBER,60,20160115,120000,91.3900000,91.8900000,91.2600000,91.6000000,6332070
SBER,60,20160115,130000,91.5800000,91.6000000,88.8300000,88.9100000,25007120
SBER,60,20160115,140000,88.9100000,89.6500000,88.6300000,89.5000000,16771400
SBER,60,20160115,150000,89.5100000,89.5500000,88.0400000,88.6500000,14094180
SBER,60,20160115,160000,88.6500000,88.6500000,86.8500000,87.4400000,20975960
SBER,60,20160115,170000,87.4000000,87.9800000,87.1500000,87.2300000,13554460
SBER,60,20160115,180000,87.2700000,87.6300000,87.1300000,87.2700000,8467620
SBER,60,20160118,100000,86.3000000,87.2000000,85.1000000,86.7400000,20523120
SBER,60,20160118,110000,86.7500000,88.2800000,86.7400000,87.4800000,21961060
SBER,60,20160118,120000,87.5000000,87.9700000,87.1600000,87.6300000,8181630
SBER,60,20160118,130000,87.6700000,87.7700000,86.7100000,87.6900000,6707560
SBER,60,20160118,140000,87.6700000,88.2000000,87.3000000,87.4800000,9698730
SBER,60,20160118,150000,87.4500000,87.7500000,86.0000000,86.4000000,11096200
SBER,60,20160118,160000,86.4000000,86.9000000,85.8200000,86.5000000,8006210
SBER,60,20160118,170000,86.5100000,86.9700000,85.6700000,86.4100000,7748450
SBER,60,20160118,180000,86.4100000,86.6000000,86.0400000,86.1500000,6462400
SBER,60,20160119,100000,87.3200000,89.2000000,87.1500000,88.9200000,24547240
SBER,60,20160119,110000,88.8900000,89.1900000,88.3500000,88.7700000,11336750
SBER,60,20160119,120000,88.7500000,88.8700000,88.1100000,88.8300000,6525970
SBER,60,20160119,130000,88.8400000,89.5000000,88.5700000,88.8700000,12152670
SBER,60,20160119,140000,88.8700000,89.7000000,88.8500000,89.5200000,7137820
SBER,60,20160119,150000,89.5500000,89.5800000,88.5500000,88.5600000,8178480
SBER,60,20160119,160000,88.5600000,88.7500000,88.2000000,88.5000000,7685280
SBER,60,20160119,170000,88.5000000,88.5300000,86.2200000,86.6500000,20275940
SBER,60,20160119,180000,86.6000000,86.9300000,85.7600000,86.6800000,16108000
SBER,60,20160120,100000,84.9000000,85.1900000,82.9000000,83.1700000,31063880
SBER,60,20160120,110000,83.2100000,83.8700000,82.2000000,82.6800000,24064140
SBER,60,20160120,120000,82.7000000,83.8800000,82.6000000,83.5400000,16113530
SBER,60,20160120,130000,83.5700000,84.3500000,83.4100000,84.0000000,11215870
SBER,60,20160120,140000,83.9900000,84.1000000,83.1200000,83.6400000,8264850
SBER,60,20160120,150000,83.6400000,83.8000000,82.7000000,83.6500000,10177070
